2018-04-24 10:07:41.945 [main] INFO  org.com.coolfish.Application -Starting Application on DESKTOP-KQUPCBR with PID 3372 (D:\DevelopTools\GitHub\coolfish-master\coolfish-telprovider\target\classes started by LINGHUI in D:\DevelopTools\GitHub\coolfish-master\coolfish-telprovider)
2018-04-24 10:07:41.955 [main] INFO  org.com.coolfish.Application -The following profiles are active: dev
2018-04-24 10:07:41.985 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@5609159b: startup date [Tue Apr 24 10:07:41 CST 2018]; root of context hierarchy
2018-04-24 10:07:42.325 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode!
2018-04-24 10:07:42.360 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode!
2018-04-24 10:07:42.370 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data Redis - Could not safely identify store assignment for repository candidate interface org.com.coolfish.repository.KuyuCardRepository.
2018-04-24 10:07:42.380 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data Redis - Could not safely identify store assignment for repository candidate interface org.com.coolfish.repository.KuyuAddPackageRepository.
2018-04-24 10:07:42.630 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'taskExecutorConfig' of type [org.com.coolfish.config.TaskExecutorConfig$$EnhancerBySpringCGLIB$$516335d1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-04-24 10:07:42.630 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor -Initializing ExecutorService 
2018-04-24 10:07:42.650 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$8826322a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-04-24 10:07:42.891 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Building JPA container EntityManagerFactory for persistence unit 'default'
2018-04-24 10:07:42.901 [main] INFO  o.h.jpa.internal.util.LogHelper -HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2018-04-24 10:07:42.931 [main] INFO  org.hibernate.Version -HHH000412: Hibernate Core {5.0.12.Final}
2018-04-24 10:07:42.931 [main] INFO  org.hibernate.cfg.Environment -HHH000206: hibernate.properties not found
2018-04-24 10:07:42.941 [main] INFO  org.hibernate.cfg.Environment -HHH000021: Bytecode provider name : javassist
2018-04-24 10:07:42.961 [main] INFO  o.h.annotations.common.Version -HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018-04-24 10:07:43.031 [main] INFO  c.alibaba.druid.pool.DruidDataSource -{dataSource-1} inited
2018-04-24 10:07:43.151 [main] INFO  org.hibernate.dialect.Dialect -HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2018-04-24 10:07:43.341 [main] INFO  org.hibernate.tuple.PojoInstantiator -HHH000182: No default (no-argument) constructor for class: org.com.coolfish.entity.KuyuCard (class must be instantiated by Interceptor)
2018-04-24 10:07:43.383 [main] INFO  o.h.tool.hbm2ddl.SchemaUpdate -HHH000228: Running hbm2ddl schema update
2018-04-24 10:07:43.533 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
2018-04-24 10:07:43.673 [main] INFO  o.h.h.i.QueryTranslatorFactoryInitiator -HHH000397: Using ASTQueryTranslatorFactory
2018-04-24 10:07:44.422 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter -Registering beans for JMX exposure on startup
2018-04-24 10:07:44.430 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter -Bean with name 'dataSource' has been autodetected for JMX exposure
2018-04-24 10:07:44.430 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter -Bean with name 'rabbitConnectionFactory' has been autodetected for JMX exposure
2018-04-24 10:07:44.430 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter -Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2018-04-24 10:07:44.430 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter -Located managed bean 'rabbitConnectionFactory': registering with JMX server as MBean [org.springframework.amqp.rabbit.connection:name=rabbitConnectionFactory,type=CachingConnectionFactory]
2018-04-24 10:07:44.450 [main] INFO  o.s.c.s.DefaultLifecycleProcessor -Starting beans in phase 2147483647
